case_id,group,split,variant,status,physical_hash,latency_s,candidate_count,positive_count,recall_at_10,recall_at_20,physical_cache_hit
eval-transfer-0,transfer,train,A3,DEFERRED_USER,c40b3c0352625b645f2756d10f0a1402cdfb17b43643ec19819cf056df65876e,,,,,,
eval-transfer-0,transfer,train,A4,DEFERRED_USER,c40b3c0352625b645f2756d10f0a1402cdfb17b43643ec19819cf056df65876e,,,,,,
eval-transfer-1,transfer,train,A0,PASS,353f5bbdfb45b6902d0de2574c712159901e12883a6b79c496b11d9c1e398b5d,0.006125333980889991,23,1,1.0,1.0,False
eval-transfer-1,transfer,train,A1,PASS,353f5bbdfb45b6902d0de2574c712159901e12883a6b79c496b11d9c1e398b5d,0.004197833011858165,23,1,1.0,1.0,True
eval-transfer-1,transfer,train,A2,PASS,353f5bbdfb45b6902d0de2574c712159901e12883a6b79c496b11d9c1e398b5d,0.008706874999916181,23,1,1.0,1.0,True
eval-transfer-1,transfer,train,A5,PASS,353f5bbdfb45b6902d0de2574c712159901e12883a6b79c496b11d9c1e398b5d,0.008475542010273784,23,1,1.0,1.0,True
eval-transfer-1,transfer,train,A3,DEFERRED_USER,353f5bbdfb45b6902d0de2574c712159901e12883a6b79c496b11d9c1e398b5d,,,,,,
eval-transfer-1,transfer,train,A4,DEFERRED_USER,353f5bbdfb45b6902d0de2574c712159901e12883a6b79c496b11d9c1e398b5d,,,,,,
eval-transfer-2,transfer,train,A0,PASS,d7915e6f915397c1474f42ae6e678044adf286f2d17d28fb6b33fd624fd0c82d,0.005029708001529798,23,1,1.0,1.0,False
eval-transfer-2,transfer,train,A1,PASS,d7915e6f915397c1474f42ae6e678044adf286f2d17d28fb6b33fd624fd0c82d,0.004039874998852611,23,1,1.0,1.0,True
eval-transfer-2,transfer,train,A2,PASS,d7915e6f915397c1474f42ae6e678044adf286f2d17d28fb6b33fd624fd0c82d,0.0074762500007636845,23,1,1.0,1.0,True
eval-transfer-2,transfer,train,A5,PASS,d7915e6f915397c1474f42ae6e678044adf286f2d17d28fb6b33fd624fd0c82d,0.007685415999731049,23,1,1.0,1.0,True
eval-transfer-2,transfer,train,A3,DEFERRED_USER,d7915e6f915397c1474f42ae6e678044adf286f2d17d28fb6b33fd624fd0c82d,,,,,,
eval-transfer-2,transfer,train,A4,DEFERRED_USER,d7915e6f915397c1474f42ae6e678044adf286f2d17d28fb6b33fd624fd0c82d,,,,,,
eval-transfer-3,transfer,train,A0,PASS,291d0c4a9fd19c64075b08e4e95afe74dbfd12ce9559e24c6cfce1b2d092b2d5,0.004413874994497746,23,1,1.0,1.0,False
eval-transfer-3,transfer,train,A1,PASS,291d0c4a9fd19c64075b08e4e95afe74dbfd12ce9559e24c6cfce1b2d092b2d5,0.004511083010584116,23,1,1.0,1.0,True
eval-transfer-3,transfer,train,A2,PASS,291d0c4a9fd19c64075b08e4e95afe74dbfd12ce9559e24c6cfce1b2d092b2d5,0.007373000000370666,23,1,1.0,1.0,True
eval-transfer-3,transfer,train,A5,PASS,291d0c4a9fd19c64075b08e4e95afe74dbfd12ce9559e24c6cfce1b2d092b2d5,0.007342042023083195,23,1,1.0,1.0,True
eval-transfer-3,transfer,train,A3,DEFERRED_USER,291d0c4a9fd19c64075b08e4e95afe74dbfd12ce9559e24c6cfce1b2d092b2d5,,,,,,
eval-transfer-3,transfer,train,A4,DEFERRED_USER,291d0c4a9fd19c64075b08e4e95afe74dbfd12ce9559e24c6cfce1b2d092b2d5,,,,,,
eval-grade_separation-0,grade_separation,train,A0,PASS,42ed48a87380df95f070cfaee050dfae626eb7d0e8b27a38b3ebcd56d685c3b2,0.004624292021617293,23,0,,,False
eval-grade_separation-0,grade_separation,train,A1,PASS,42ed48a87380df95f070cfaee050dfae626eb7d0e8b27a38b3ebcd56d685c3b2,0.0036077499971725047,23,0,,,True
eval-grade_separation-0,grade_separation,train,A2,PASS,42ed48a87380df95f070cfaee050dfae626eb7d0e8b27a38b3ebcd56d685c3b2,0.005549415975110605,23,0,,,True
eval-grade_separation-0,grade_separation,train,A5,PASS,42ed48a87380df95f070cfaee050dfae626eb7d0e8b27a38b3ebcd56d685c3b2,0.00794375000987202,23,0,,,True
eval-grade_separation-0,grade_separation,train,A3,DEFERRED_USER,42ed48a87380df95f070cfaee050dfae626eb7d0e8b27a38b3ebcd56d685c3b2,,,,,,
eval-grade_separation-0,grade_separation,train,A4,DEFERRED_USER,42ed48a87380df95f070cfaee050dfae626eb7d0e8b27a38b3ebcd56d685c3b2,,,,,,
eval-grade_separation-1,grade_separation,train,A0,PASS,b17726b8b7c7842646f03db904b9e61319b0202c0e779fdf52d4f32c914cb4ee,0.0058767920127138495,23,0,,,False
eval-grade_separation-1,grade_separation,train,A1,PASS,b17726b8b7c7842646f03db904b9e61319b0202c0e779fdf52d4f32c914cb4ee,0.0038280840090010315,23,0,,,True
